identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
Android Box Mobile App,GOOGLE_PLAY_APP_ID,https://play.google.com/store/apps/details?id=com.box.android,true,true,,,,critical,,2019-12-03 18:56:04 UTC,2026-04-01 20:17:10 UTC
iOS Box Mobile App,APPLE_STORE_APP_ID,https://apps.apple.com/us/app/box-the-power-of-content-ai/id290853822,true,true,,,,critical,,2020-01-09 22:38:09 UTC,2026-04-01 20:17:48 UTC
Box Drive,OTHER,https://www.box.com/resources/downloads/drive,true,true,,,,critical,,2020-02-14 00:36:02 UTC,2021-04-16 16:12:27 UTC
m.box.com,URL,Mobile web version of Box application. Separate rendering and session handling logic may expose unique vulnerabilities.,true,true,,,,critical,,2020-06-26 00:16:51 UTC,2026-04-01 20:10:07 UTC
notes.services.box.com,URL,Box Notes service backend. Includes real-time collaboration and content sync functionality.,true,true,,,,critical,,2021-10-07 16:10:48 UTC,2026-04-01 21:01:19 UTC
sr-staging-1.com,URL,This domain is not in scope and testing is prohibited.,false,false,,,,critical,,2021-12-22 00:10:29 UTC,2026-09-08 18:39:47 UTC
signrequest.com,URL,This domain is not in scope and testing is prohibited.,false,false,,,,critical,,2021-12-22 00:11:43 UTC,2026-09-08 18:39:47 UTC
app.box.com,URL,"Primary Box web application. Includes all end-user and admin functionality such as file storage, sharing, collaboration, Box AI, Box Shield, Box Governance, Hubs, Forms, Relay, Apps, Notes, Canvas, and Admin Console.",true,true,,,,critical,,2026-04-01 20:09:29 UTC,2026-04-01 21:00:28 UTC
account.box.com,URL,"Authentication and identity plane. Includes login, OAuth flows, SSO, token issuance, and session management. High-value target for account takeover and auth bypass vulnerabilities.",true,true,,,,critical,,2026-04-01 20:10:59 UTC,2026-04-01 20:21:00 UTC
api.box.com,URL,"Core Box API surface. Includes endpoints for files, folders, users, collaborations, shared links, search, metadata, governance, Shield, events, and AI-related functionality. Primary surface for authorization and data access vulnerabilities.",true,true,,,,critical,,2026-04-01 20:11:28 UTC,2026-04-01 20:11:28 UTC
upload.box.com,URL,"File upload pipeline. Includes file ingestion, processing, and storage entry points. Relevant for malware bypass, file parsing, and content validation vulnerabilities.",true,true,,,,critical,,2026-04-01 20:13:14 UTC,2026-04-01 20:19:40 UTC
dl.boxcloud.com,URL,"File download and content delivery network. Includes signed URLs and file access mechanisms. Relevant for data exposure, token leakage, and access control issues.",true,true,,,,critical,,2026-04-01 20:13:56 UTC,2026-04-01 20:20:26 UTC
cloud.app.box.com,URL,"Box-hosted web surface use for certain content experiences such as Box Notes and other cloud-rendered or embedded application views. Represents a distinct frontend origin from app.box.com and may have unique session, rendering, and security behaviors.",true,true,,,,critical,,2026-04-01 21:12:45 UTC,2026-04-01 21:16:24 UTC
Box Tools,OTHER,Box Tools is an installer package that lets you open and edit Box-stored files directly in default desktop applications. Download from https://www.box.com/resources/downloads,true,true,,,,critical,,2026-09-01 19:17:00 UTC,2026-09-01 19:17:55 UTC
